,가열대를 대상으로 함.,,,,,,,,,,,변경시점의 정의는 ,,,,,,,,,,
29,D,D,D,X,D,D,D,D,D,X,X,B,X,X,B,B,B,B,B,B,,6
30,D,X,D,D,D,X,D,D,D,X,X,B,B,B,X,B,B,B,X,B,,7
31,D,X,X,D,D,D,D,X,D,X,X,B,B,B,X,B,B,B,B,B,,8
32,D,D,X,X,D,X,D,D,D,X,X,B,X,B,B,B,B,B,B,B,,8
33,D,D,D,D,D,D,D,D,D,X,X,B,B,B,B,B,B,B,B,B,,7
34,X,X,D,D,D,D,D,D,D,X,X,B,B,B,B,B,X,X,X,B,,5
35,D,X,X,D,D,D,D,D,D,X,X,B,X,B,X,B,B,B,B,B,,5
36,D,D,X,X,D,D,D,D,D,X,X,B,X,B,B,X,B,B,B,B,,5
37,D,D,D,D,X,D,D,D,D,X,B,X,B,B,B,B,B,B,B,B,,6
38,D,D,D,D,X,D,D,D,D,X,X,B,B,B,B,B,B,B,B,B,,7
39,D,D,D,X,X,D,D,D,D,X,X,B,B,B,X,X,B,B,B,B,,7
40,D,D,X,D,D,D,D,D,D,X,B,B,X,X,B,B,X,B,B,B,,6
41,D,X,D,D,D,D,X,D,D,X,X,B,X,B,B,B,X,B,X,B,,6
42,D,X,X,D,D,D,D,D,D,X,X,B,B,B,B,B,B,B,B,B,,7
43,D,D,D,X,X,D,D,D,D,X,X,X,X,B,B,B,B,B,B,B,,4
44,D,D,X,D,D,D,D,D,D,X,X,B,X,X,X,B,B,B,B,B,,4
45,D,D,D,X,D,D,X,X,D,X,X,B,B,B,B,B,B,B,B,B,,9
46,D,D,X,X,D,X,D,D,D,X,X,X,B,B,X,B,B,B,B,B,,6
47,D,D,D,D,D,D,D,D,D,X,X,B,X,B,B,X,B,B,B,B,,8
48,D,D,X,D,D,X,D,D,D,X,X,X,X,B,B,B,X,B,B,B,,7
49,X,X,D,D,X,D,X,D,D,X,X,B,B,X,B,B,B,B,X,B,,6
50,D,X,X,X,D,D,D,D,D,X,X,B,B,B,B,X,B,X,B,B,,7
